extname	extversion
cube	1.5
earthdistance	1.2
pg_cron	1.6.4
pg_graphql	1.5.11
pg_net	0.19.5
pg_stat_statements	1.11
pg_trgm	1.6
pgcrypto	1.3
plpgsql	1.0
supabase_vault	0.3.1
uuid-ossp	1.1
(11 rows)
